timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2018/05/01 01:19:53.662, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,63, 17 , 8 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:19:54.663, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,63, 20 , 7 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:19:55.664, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,63, 35 , 16 , 2002 MiB, 1452 MiB, 550 MiB
2018/05/01 01:19:56.666, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,62, 14 , 9 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:19:57.667, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,61, 16 , 10 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:19:58.668, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,61, 17 , 11 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:19:59.669, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,60, 16 , 10 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:20:00.671, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,60, 12 , 9 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:20:01.673, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,60, 15 , 9 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:20:02.675, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,59, 8 , 5 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:20:03.676, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,59, 12 , 7 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:20:04.678, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,59, 20 , 11 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:20:05.679, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,58, 16 , 10 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:20:06.683, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,58, 16 , 10 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:20:07.684, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,58, 16 , 10 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:20:08.685, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,57, 34 , 13 , 2002 MiB, 1458 MiB, 544 MiB
2018/05/01 01:20:09.687, GeForce 940MX, 00000000:01:00.0,387.34, P0,3,3,57, 10 , 6 , 2002 MiB, 1458 MiB, 544 MiB
